명칭,latitude,longitude,Station_line,구분
미사,37.560927,127.193877,5호선,지하철
강일,37.55749,127.17593,5호선,지하철
김포공항,37.56236,126.801868,김포골드라인,지하철
고촌,37.601243,126.770345,김포골드라인,지하철
풍무,37.612488,126.732387,김포골드라인,지하철
사우(김포시청),37.620249,126.719731,김포골드라인,지하철
걸포북변,37.63165,126.705975,김포골드라인,지하철
운양,37.653867,126.68393,김포골드라인,지하철
장기,37.643986,126.669017,김포골드라인,지하철
마산,37.640732,126.644344,김포골드라인,지하철
구래,37.645384,126.628633,김포골드라인,지하철
양촌,37.642379,126.614309,김포골드라인,지하철
원시,37.302371,126.786691,서해선,지하철
원곡,37.31321,126.796261,서해선,지하철
초지,37.319619,126.808147,서해선,지하철
선부,37.334353,126.809904,서해선,지하철
달미,37.348847,126.809409,서해선,지하철
시흥능곡,37.369864,126.808573,서해선,지하철
시흥시청,37.382223,126.805625,서해선,지하철
신현,37.409008,126.788017,서해선,지하철
신천,37.439066,126.786788,서해선,지하철
시흥대야,37.450145,126.793041,서해선,지하철
소새울,37.468467,126.797252,서해선,지하철
소사,37.483279,126.795023,서해선,지하철
신설동,37.576095,127.023242,우이신설선,지하철
보문,37.585286,127.019381,우이신설선,지하철
성신여대입구(돈암),37.592467,127.016516,우이신설선,지하철
정릉,37.603133,127.013396,우이신설선,지하철
북한산보국문,37.612072,127.008251,우이신설선,지하철
솔샘,37.620238,127.013626,우이신설선,지하철
삼양사거리,37.621337,127.020473,우이신설선,지하철
삼양,37.626914,127.018106,우이신설선,지하철
화계,37.634133,127.017511,우이신설선,지하철
가오리,37.641537,127.016789,우이신설선,지하철
4.19민주묘지,37.649502,127.013684,우이신설선,지하철
솔밭공원,37.65603,127.013273,우이신설선,지하철
북한산우이,37.662909,127.012706,우이신설선,지하철
탑석,37.733579,127.088704,의정부선,지하철
송산,37.737279,127.087159,의정부선,지하철
어룡,37.742802,127.085035,의정부선,지하철
곤제,37.750471,127.083715,의정부선,지하철
효자,37.754025,127.076902,의정부선,지하철
경기도청북부청사,37.75059,127.071495,의정부선,지하철
새말,37.748885,127.06362,의정부선,지하철
동오,37.745271,127.056947,의정부선,지하철
의정부중앙,37.743676,127.049565,의정부선,지하철
흥선,37.743302,127.037023,의정부선,지하철
의정부시청,37.739256,127.034781,의정부선,지하철
경전철의정부,37.737202,127.043257,의정부선,지하철
범골,37.728755,127.04353,의정부선,지하철
회룡,37.725006,127.047073,의정부선,지하철
발곡,37.727048,127.052803,의정부선,지하철
전대.에버랜드,37.285342,127.219561,에버라인선,지하철
둔전,37.267051,127.21364,에버라인선,지하철
보평,37.258965,127.218457,에버라인선,지하철
고진,37.24484,127.214251,에버라인선,지하철
운동장.송담대,37.237845,127.209198,에버라인선,지하철
김량장,37.237247,127.198781,에버라인선,지하철
명지대,37.237964,127.190294,에버라인선,지하철
시청.용인대,37.239151,127.178406,에버라인선,지하철
삼가,37.242115,127.168075,에버라인선,지하철
초당,37.260752,127.159443,에버라인선,지하철
동백,37.269043,127.152716,에버라인선,지하철
어정,37.274917,127.143714,에버라인선,지하철
지석,37.269606,127.136515,에버라인선,지하철
강남대,37.270161,127.126033,에버라인선,지하철
기흥,37.275449,127.116665,에버라인선,지하철
광교(경기대),37.30211,127.044483,신분당선(연장),지하철
광교중앙(아주대),37.288617,127.051478,신분당선(연장),지하철
상현,37.297664,127.069342,신분당선(연장),지하철
성복,37.313335,127.0801,신분당선(연장),지하철
수지구청,37.322702,127.095026,신분당선(연장),지하철
동천,37.337928,127.102976,신분당선(연장),지하철
미금,37.349982,127.108918,신분당선(연장),지하철
정자,37.367098,127.108403,신분당선,지하철
판교,37.394761,127.112217,신분당선,지하철
청계산입구,37.447211,127.055664,신분당선,지하철
양재시민의숲(매헌),37.470023,127.03842,신분당선,지하철
양재(서초구청),37.483809,127.034653,신분당선,지하철
강남,37.496837,127.028104,신분당선,지하철
영종,37.51202,126.524254,공항철도1호선,지하철
인천공항2터미널,37.460699,126.441442,공항철도1호선,지하철
인천공항1터미널,37.447464,126.452508,공항철도1호선,지하철
공항화물청사,37.459041,126.477516,공항철도1호선,지하철
운서,37.492904,126.49379,공항철도1호선,지하철
청라국제도시,37.556409,126.624648,공항철도1호선,지하철
검암,37.569098,126.674007,공항철도1호선,지하철
계양,37.571662,126.7363,공항철도1호선,지하철
김포공항,37.561842,126.801904,공항철도1호선,지하철
마곡나루,37.565543,126.827378,공항철도1호선,지하철
디지털미디어시티,37.576958,126.898609,공항철도1호선,지하철
홍대입구,37.557438,126.926715,공항철도1호선,지하철
공덕,37.54253,126.952024,공항철도1호선,지하철
서울역,37.553247,126.969769,공항철도1호선,지하철
중앙보훈병원,37.529191,127.148739,9호선(연장),지하철
둔촌오륜,37.519683,127.137989,9호선(연장),지하철
올림픽공원(한국체대),37.516269,127.130288,9호선(연장),지하철
한성백제,37.516404,127.116503,9호선(연장),지하철
송파나루,37.510372,127.112216,9호선(연장),지하철
석촌,37.505208,127.10704,9호선(연장),지하철
석촌고분,37.502558,127.097033,9호선(연장),지하철
삼전,37.504738,127.088025,9호선(연장),지하철
종합운동장,37.511426,127.076275,9호선(연장),지하철
봉은사,37.514219,127.060245,9호선(연장),지하철
삼성중앙,37.513011,127.053282,9호선(연장),지하철
선정릉,37.510297,127.043999,9호선(연장),지하철
언주,37.507287,127.033868,9호선(연장),지하철
신논현,37.504598,127.02506,9호선,지하철
사평,37.504206,127.015259,9호선,지하철
고속터미널,37.50598,127.004403,9호선,지하철
신반포,37.503415,126.995925,9호선,지하철
구반포,37.501364,126.987332,9호선,지하철
동작(현충원),37.502878,126.978153,9호선,지하철
흑석(중앙대입구),37.50877,126.963708,9호선,지하철
노들,37.512887,126.953222,9호선,지하철
노량진,37.513534,126.941005,9호선,지하철
샛강,37.517274,126.928422,9호선,지하철
여의도,37.52176,126.92403,9호선,지하철
국회의사당,37.528105,126.917874,9호선,지하철
당산,37.533406,126.902809,9호선,지하철
선유도,37.53802,126.893525,9호선,지하철
신목동,37.544277,126.88308,9호선,지하철
염창,37.546936,126.874916,9호선,지하철
등촌,37.550632,126.865689,9호선,지하철
증미,37.557402,126.861939,9호선,지하철
가양,37.561391,126.854456,9호선,지하철
양천향교,37.568381,126.841333,9호선,지하철
마곡나루,37.566778,126.82731,9호선,지하철
신방화,37.567532,126.816601,9호선,지하철
공항시장,37.563726,126.810678,9호선,지하철
김포공항,37.561916,126.802152,9호선,지하철
개화,37.578608,126.798153,9호선,지하철
석남(거북시장),37.5062285,126.6762813,7호선,지하철
산곡,37.5086,126.7035277,7호선,지하철
운연(서창),37.440127,126.75997,인천2호선,지하철
인천대공원,37.448769,126.752618,인천2호선,지하철
남동구청,37.448161,126.736939,인천2호선,지하철
만수,37.454911,126.732094,인천2호선,지하철
모래내시장,37.45583,126.719298,인천2호선,지하철
석천사거리,37.456805,126.709986,인천2호선,지하철
인천시청,37.456833,126.701306,인천2호선,지하철
석바위시장,37.457611,126.692575,인천2호선,지하철
시민공원(문화창작지대),37.458335,126.681192,인천2호선,지하철
주안,37.464992,126.679098,인천2호선,지하철
주안국가산단,37.473703,126.68113,인천2호선,지하철
가재울,37.484192,126.683673,인천2호선,지하철
인천가좌,37.4897,126.675208,인천2호선,지하철
서부여성회관,37.500168,126.675795,인천2호선,지하철
석남(거북시장),37.506193,126.676203,인천2호선,지하철
가정중앙시장,37.517054,126.676672,인천2호선,지하철
가정(루원시티),37.524649,126.675539,인천2호선,지하철
서구청,37.543742,126.676787,인천2호선,지하철
아시아드경기장(공촌사거리),37.5517,126.677122,인천2호선,지하철
검바위,37.561405,126.677566,인천2호선,지하철
검암,37.56866,126.675687,인천2호선,지하철
독정,37.585212,126.675844,인천2호선,지하철
완정,37.592928,126.673203,인천2호선,지하철
마전,37.597566,126.666998,인천2호선,지하철
검단사거리,37.60185,126.657108,인천2호선,지하철
왕길,37.59518,126.642696,인천2호선,지하철
검단오류(검단산업단지),37.594877,126.627178,인천2호선,지하철
송도달빛축제공원,37.407143,126.62597,인천1호선,지하철
국제업무지구,37.399907,126.630347,인천1호선,지하철
센트럴파크,37.393054,126.634729,인천1호선,지하철
인천대입구,37.386007,126.639484,인천1호선,지하철
지식정보단지,37.378384,126.645168,인천1호선,지하철
테크노파크,37.382268,126.656365,인천1호선,지하철
캠퍼스타운,37.387855,126.661673,인천1호선,지하철
동막,37.397878,126.674005,인천1호선,지하철
동춘,37.404737,126.681015,인천1호선,지하철
원인재,37.412333,126.687869,인천1호선,지하철
신연수,37.41804,126.693863,인천1호선,지하철
선학,37.426684,126.698863,인천1호선,지하철
문학경기장,37.434935,126.698579,인천1호선,지하철
인천터미널,37.442383,126.699706,인천1호선,지하철
예술회관,37.449396,126.701012,인천1호선,지하철
인천시청,37.457263,126.702143,인천1호선,지하철
간석오거리,37.467048,126.707938,인천1호선,지하철
부평삼거리,37.477679,126.710208,인천1호선,지하철
동수,37.485312,126.718247,인천1호선,지하철
부평,37.490535,126.723453,인천1호선,지하철
부평시장,37.498383,126.722244,인천1호선,지하철
부평구청,37.508407,126.720555,인천1호선,지하철
갈산,37.517268,126.721514,인천1호선,지하철
작전,37.530415,126.722527,인천1호선,지하철
경인교대입구,37.538157,126.722597,인천1호선,지하철
계산,37.543238,126.728128,인천1호선,지하철
임학,37.545059,126.738665,인천1호선,지하철
박촌,37.553703,126.745077,인천1호선,지하철
귤현,37.566379,126.742654,인천1호선,지하철
계양,37.571449,126.73578,인천1호선,지하철
남위례,37.4624,127.13977,8호선,지하철
모란,37.433824,127.129837,8호선,지하철
수진,37.437428,127.140722,8호선,지하철
신흥,37.440918,127.147564,8호선,지하철
단대오거리,37.44521,127.156866,8호선,지하철
남한산성입구(성남법원.검찰청),37.451535,127.159816,8호선,지하철
산성,37.457122,127.149908,8호선,지하철
복정,37.471052,127.126732,8호선,지하철
장지,37.478703,127.126191,8호선,지하철
문정,37.485855,127.1225,8호선,지하철
가락시장,37.492888,127.118398,8호선,지하철
송파,37.499703,127.112183,8호선,지하철
석촌,37.505557,127.106832,8호선,지하철
잠실(송파구청),37.514692,127.104338,8호선,지하철
몽촌토성(평화의문),37.517409,127.112359,8호선,지하철
강동구청,37.530341,127.120508,8호선,지하철
천호(풍납토성),37.538113,127.123254,8호선,지하철
암사,37.55021,127.127562,8호선,지하철
부평구청,37.507394,126.721599,7호선,지하철
굴포천,37.506997,126.73128,7호선,지하철
삼산체육관,37.506411,126.742153,7호선,지하철
상동,37.505781,126.753083,7호선,지하철
부천시청,37.504631,126.763538,7호선,지하철
신중동,37.503048,126.77596,7호선,지하철
춘의,37.503663,126.787036,7호선,지하철
부천종합운동장,37.50538,126.797337,7호선,지하철
까치울,37.506207,126.810939,7호선,지하철
온수(성공회대입구),37.492092,126.823023,7호선,지하철
천왕,37.486637,126.838713,7호선,지하철
광명사거리,37.479252,126.854876,7호선,지하철
철산,37.47605,126.867911,7호선,지하철
가산디지털단지,37.480338,126.882656,7호선,지하철
남구로,37.486056,126.887249,7호선,지하철
대림(구로구청),37.493013,126.897075,7호선,지하철
신풍,37.50008,126.90993,7호선,지하철
보라매,37.499872,126.920428,7호선,지하철
신대방삼거리,37.499701,126.928276,7호선,지하철
장승배기,37.504898,126.93915,7호선,지하철
상도,37.502834,126.94791,7호선,지하철
숭실대입구(살피재),37.496029,126.953822,7호선,지하철
남성,37.484596,126.971251,7호선,지하철
이수,37.485196,126.981605,7호선,지하철
내방,37.487618,126.993513,7호선,지하철
고속터미널,37.503367,127.005068,7호선,지하철
반포,37.508178,127.011727,7호선,지하철
논현,37.511093,127.021415,7호선,지하철
학동,37.514229,127.031656,7호선,지하철
강남구청,37.517179,127.041255,7호선,지하철
청담,37.519365,127.05335,7호선,지하철
뚝섬유원지,37.53154,127.066704,7호선,지하철
건대입구,37.540786,127.071011,7호선,지하철
어린이대공원(세종대),37.548014,127.074658,7호선,지하철
군자(능동),37.556897,127.079338,7호선,지하철
중곡,37.565923,127.08432,7호선,지하철
용마산,37.573647,127.086727,7호선,지하철
사가정,37.580894,127.088478,7호선,지하철
면목,37.588579,127.087503,7호선,지하철
상봉(시외버스터미널),37.595577,127.085716,7호선,지하철
중화,37.602545,127.079264,7호선,지하철
먹골,37.610637,127.077725,7호선,지하철
태릉입구,37.618294,127.075397,7호선,지하철
공릉(서울과학기술대),37.625742,127.072896,7호선,지하철
하계,37.636352,127.06799,7호선,지하철
중계,37.644583,127.064303,7호선,지하철
노원,37.654836,127.060462,7호선,지하철
마들,37.66494,127.057675,7호선,지하철
수락산,37.67785,127.055315,7호선,지하철
도봉산,37.689241,127.046509,7호선,지하철
장암,37.700109,127.053196,7호선,지하철
신내,37.613174,127.102231,6호선,지하철
봉화산(서울의료원),37.617283,127.091401,6호선,지하철
화랑대(서울여대입구),37.620064,127.084689,6호선,지하철
태릉입구,37.617338,127.074735,6호선,지하철
석계,37.614872,127.065595,6호선,지하철
돌곶이,37.610537,127.056431,6호선,지하철
상월곡(한국과학기술연구원),37.606377,127.048491,6호선,지하철
월곡(동덕여대),37.601948,127.041518,6호선,지하철
고려대(종암),37.590508,127.036296,6호선,지하철
안암(고대병원앞),37.586272,127.029005,6호선,지하철
보문,37.585274,127.019351,6호선,지하철
창신,37.579661,127.015241,6호선,지하철
동묘앞,37.572279,127.015653,6호선,지하철
신당,37.566154,127.016146,6호선,지하철
청구,37.560608,127.013986,6호선,지하철
약수,37.554263,127.010358,6호선,지하철
버티고개,37.548013,127.007055,6호선,지하철
한강진,37.539631,127.001725,6호선,지하철
이태원,37.534488,126.994302,6호선,지하철
녹사평(용산구청),37.534675,126.986695,6호선,지하철
삼각지,37.535534,126.974032,6호선,지하철
효창공원앞,37.539233,126.961384,6호선,지하철
공덕,37.543555,126.951678,6호선,지하철
대흥(서강대앞),37.547771,126.942069,6호선,지하철
광흥창(서강),37.547456,126.931993,6호선,지하철
상수,37.547716,126.922852,6호선,지하철
합정,37.549209,126.913366,6호선,지하철
망원,37.556094,126.910052,6호선,지하철
마포구청,37.563515,126.903343,6호선,지하철
월드컵경기장(성산),37.569532,126.899298,6호선,지하철
디지털미디어시티,37.576108,126.901391,6호선,지하철
증산(명지대앞),37.583876,126.909645,6호선,지하철
새절(신사),37.591148,126.913629,6호선,지하철
구산,37.611377,126.91727,6호선,지하철
연신내,37.618636,126.920625,6호선,지하철
독바위,37.618456,126.933031,6호선,지하철
불광,37.610873,126.92939,6호선,지하철
역촌,37.606021,126.922744,6호선,지하철
응암,37.598605,126.915577,6호선,지하철
하남시청(덕풍-신장),37.54205,127.20612,5호선,지하철
하남검단산,37.53972,127.22345,5호선,지하철
하남풍산,37.552034,127.203864,5호선,지하철
미사,37.560927,127.193877,5호선,지하철
강일,37.55749,127.17593,5호선,지하철
마천,37.49499,127.152781,5호선,지하철
거여,37.493105,127.14415,5호선,지하철
개롱,37.498079,127.13482,5호선,지하철
오금,37.502057,127.127938,5호선,지하철
방이,37.508857,127.126133,5호선,지하철
올림픽공원(한국체대),37.516201,127.130923,5호선,지하철
둔촌동,37.527788,127.136248,5호선,지하철
상일동,37.556712,127.166417,5호선,지하철
고덕,37.555004,127.154151,5호선,지하철
명일,37.55137,127.143999,5호선,지하철
굽은다리(강동구민회관앞),37.545477,127.142853,5호선,지하철
길동,37.537801,127.140004,5호선,지하철
강동,37.535804,127.132481,5호선,지하철
천호(풍납토성),37.53864,127.123308,5호선,지하철
광나루(장신대),37.545303,127.10357,5호선,지하철
아차산(어린이대공원후문),37.551691,127.089761,5호선,지하철
군자(능동),37.557088,127.079577,5호선,지하철
장한평,37.56144,127.064623,5호선,지하철
답십리,37.566747,127.052704,5호선,지하철
마장,37.5661,127.042973,5호선,지하철
왕십리(성동구청),37.56184,127.037059,5호선,지하철
행당,37.557322,127.029476,5호선,지하철
신금호,37.554548,127.020331,5호선,지하철
청구,37.560276,127.013639,5호선,지하철
동대문역사문화공원,37.564665,127.005353,5호선,지하철
을지로4가,37.567352,126.998032,5호선,지하철
종로3가,37.57254,126.990305,5호선,지하철
광화문(세종문화회관),37.571525,126.97717,5호선,지하철
서대문,37.565773,126.966641,5호선,지하철
충정로(경기대입구),37.560236,126.9629,5호선,지하철
애오개,37.553736,126.95682,5호선,지하철
공덕,37.544431,126.951372,5호선,지하철
마포,37.539574,126.945932,5호선,지하철
여의나루,37.527098,126.932901,5호선,지하철
여의도,37.521747,126.924357,5호선,지하철
신길,37.517623,126.914839,5호선,지하철
영등포시장,37.522669,126.905139,5호선,지하철
영등포구청,37.5242,126.89503,5호선,지하철
양평,37.525569,126.886129,5호선,지하철
오목교(목동운동장앞),37.524496,126.875181,5호선,지하철
목동,37.526065,126.864931,5호선,지하철
신정(은행정),37.524997,126.856191,5호선,지하철
까치산,37.531768,126.846683,5호선,지하철
화곡,37.541513,126.840461,5호선,지하철
우장산,37.548768,126.836318,5호선,지하철
발산,37.558598,126.837668,5호선,지하철
마곡,37.560183,126.825448,5호선,지하철
송정,37.561184,126.811973,5호선,지하철
김포공항,37.562384,126.801292,5호선,지하철
개화산,37.572399,126.806171,5호선,지하철
방화,37.577446,126.812741,5호선,지하철
대화,37.676087,126.747569,일산선,지하철
주엽,37.670072,126.761334,일산선,지하철
정발산,37.659477,126.773359,일산선,지하철
마두,37.652206,126.77762,일산선,지하철
